Account,Street,Zip Code,Type,#Bedrooms,#Bathrooms,Size/SqFeet,Year Built,Zestimate Px,Projected Timeline
13817,4901 SW 146 Ave,33175,SFR,3,2,1391,1989,162357,5-1-2014
14184,21221 NE 13 Place,33179,SFR,2,1,1343,1956,102343,5-1-2014
14346,12050 S W 177 Ter,33177,SFR,3,2,1682,1960,132592,5-1-2014
14359,1419 SW 122ND AVENUE 2-18,33184,SFR,3,2,1313,1984,119161,5-1-2014
14377,1510 ZULETA AVE,33146,SFR,2,2,1517,1952,515147,5-1-2014
14744,7636 NW 14 PLACE,33147,SFR,3,1,944,1926,53399,5-1-2014
14746,18761 SW 318 TERR,33030,SFR,3,1,1252,1994,77392,5-1-2014
14836,8301 SW 66TH ST,33143,SFR,3,1,1918,1954,656324,5-1-2014
14845,6449 WEST 12TH AVENUE,33012,SFR,3,1,1131,1957,146801,5-1-2014
14847,25 NW 64 Ave,33126,SFR,3,2,2898,1962,341849,5-1-2014
14866,1942 NW 65th Street,33147,SFR,2,1,1356,1949,65595,5-1-2014
14965,2239NW102 ST,33147,SFR,3,2,1634,1946,97807,5-1-2014
15053,728 East 42 Street,33013,SFR,2,1,1859,1957,164046,5-1-2014
15059,5250 NW 5 ST,33126,SFR,2,1,887,1952,143294,5-1-2014
15060,55 SE 6TH ST 2504,33131,SFR,1,1,738,2008,334959,5-1-2014
15061,1541 BRICKELL AVE T103,33129,SFR,2,2.5,1510,1981,566626,5-1-2014
15134,17050 NW 9 PL,33169,SFR,3,2,1651,1960,134975,5-1-2014
15135,1500 NE 140 STREET,33161,SFR,2,1,1063,1948,96689,5-1-2014
15136,420 NW 52 AVE,33126,SFR,2,1,1088,1947,153029,5-1-2014
15138,17860 NW 42ND CT,33055,SFR,3,2,1365,1957,117127,5-1-2014
15140,140 NE 172ND STREET,33162,SFR,3,1,1143,1953,126009,5-1-2014
15141,14232 SW 167TH TERRACE,33177,SFR,3,2,1827,1998,205742,5-1-2014
15143,17741 NW 37 COURT,33055,SFR,3,1,1233,1954,91441,5-1-2014
15144,11795 SW 273 ST,33032,SFR,4,2,2563,1992,122911,5-1-2014
15147,8515 SW 207TH TERRACE,33189,SFR,4,3,2045,1989,224022,5-1-2014
11434B,4644-4646 NW 15th Ave.,33142,SFR,3,3,1810,1956,85221,5-1-2014
11437B,2135 NW 47th Terrace,33142,SFR,2,1,798,1948,62174,5-1-2014
R11431,605 Ponce de Leon Blvd.,33134,SFR,3,2,1340,2009,340568,5-1-2014
R12327,2450 SW 11th Street,33135,SFR,2,1,1307,1939,141813,5-1-2014
12254,615 SANTANDER AVENUE UNIT D,33134,Condo,4,3,2257,2004,609683,5-1-2014
12276,1401 NE MIAMI GARDENS DRIVE 292,33179,Condo,2,1,921,1969,59245,5-1-2014
13090,200 S. Biscayne Blvd Suite 3810,33131,Condo,1,1,799,2009,430000,5-1-2014
13804,650 West Ave Unit 1008,33139,Condo,3,2,1348,1997,542663,5-1-2014
13809,850 N Miami Ave #2002,33136,Condo,2,2,848,1970,265572,5-1-2014
14105,240 W 68th St apt 104,33014,Condo,2,1.5,1010,1989,85000,5-1-2014
14231,1481 NORTHEAST 143 STREET  #2,33161,Condo,3,2,1322,2005,90080,5-1-2014
14239,4872 NW 107TH PL,33178,Condo,3,2.5,1620,2000,281414,5-1-2014
14462,5445 COLLINS AVE #B 7th,33140,Condo,1,2,730,1966,266487,5-1-2014
14723,7722 CAMINO REAL UNIT E-316,33143,Condo,1,1,712,1972,159014,5-1-2014
14766,8002 SW 149TH AVE APT B312,33193,Condo,2,2,866,1980,67282,5-1-2014
14773,13853 SW 90 AVENUE UNIT F-208,33176,Condo,1,1,758,1972,117253,5-1-2014
14789,11301 SW 200 ST 307A,33157,Condo,2,2,840,1977,75537,5-1-2014
14803,1265 W 24 ST #115,33010,Condo,2,1,628,1971,44733,5-1-2014
14846,5735 SW 57 TERRACE,33143,Condo,3,3,2104,1956,348407,5-1-2014
14930,6420SW129 PL 208,33183,Condo,1,1,711,1987,97600,5-1-2014
15038,6292 NW 186TH STREET #104,33015,Condo,2,2,950,1988,76544,5-1-2014
15052,1790 S Treasure Drive Unit # 4C,33141,Condo,2,2,1325,1973,161620,5-1-2014
15062,3777 SW 152 PL,33185,Condo,3,2,1670,1999,176914,5-1-2014
15064,9301 SW 92ND AVE 107,33176,Condo,1,1,670,1977,71823,5-1-2014
15137,1900 NORTH BAYSHORE DR UNIT 4703,33132,Condo,1,1,651,2008,244695,5-1-2014
15142,3542 W 76TH ST APT 102,33018,Condo,2,2,830,1997,87623,5-1-2014
15145,18725 NW 62 AVE UNIT 208,33015,Condo,2,2,1018,1988,67898,5-1-2014
R13840,5085 NW 7th Street  Unit 1007,33126,Condo,1,1,685,2003,109555,5-1-2014
R13851,1950 Brickell Ave.,33129,Condo,2,2,1000,1968,251088,5-1-2014
13099,11685 NE 18th Dr.,33181,Condo,3,2,1478,2005,296311,5-1-2014
13832,16551 SW 97th St,33196,Condo,3,2,2400,1997,142928,5-1-2014
13874,7949 SW 104 St,33156,Condo,2,2,1133,1971,130850,5-1-2014
13917,10630 SW 157th CT Apt 107,33196,Condo,2,1,891,1990,80140,5-1-2014
